spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6OSyCAmXT4Gkd3OQ2aPOaF,Silent Lucidity - 2003 - Remaster,QueensrÃ¿che,9,metal,0.462,0.628,-5.659,0.0274,0.0534,0.00025,0.12,0.0981,140.049
2Q6Knqq0R7baKPuo0bgMCU,Princess of the Night,Saxon,10,metal,0.33,0.841,-5.303,0.0562,0.000292,0.000262,0.061,0.672,106.807
0dpFb4qv92TE9R00Lq4SAW,Symbolic,Death,11,metal,0.364,0.982,-7.034,0.195,0.0000665,0.0124,0.163,0.127,113.772
3VAwkPP43h8WrPuvszXTsl,Abigail (Reissue),King Diamond,12,metal,0.318,0.937,-5.248,0.0621,0.00154,0.765,0.354,0.576,146.75
3iC3Numiy9P3AkF7iioKmx,Wild Child,W.A.S.P.,13,metal,0.372,0.857,-7.816,0.0461,0.0604,0.0000942,0.187,0.389,146.084
57fqmDaokbxZ3TaB0jp39q,Holy Diver,Dio,14,metal,0.476,0.901,-6.751,0.0975,0.0642,0.158,0.0557,0.109,91.955
2RaA6kIcvomt77qlIgGhCT,Breaking the Law,Judas Priest,15,metal,0.362,0.961,-5.664,0.0857,0.024,0.00000935,0.159,0.491,164.019
56uiDIiXz2sRoQ0AXq84aI,Metal On Metal,Anvil,16,metal,0.459,0.923,-6.081,0.0709,0.0000919,0.00000146,0.454,0.548,119.838
25kORdST1xzG4WXOnzJCKV,Can U Deliver,Armored Saint,17,metal,0.498,0.858,-9.48,0.0564,0.0299,0,0.106,0.437,151.698
6XtMQPqCeAgv2gVD65LDDy,Narcosynthesis,Nevermore,18,metal,0.497,0.991,-4.484,0.0732,0.0000529,0.00119,0.0999,0.234,135.014
4E5xVW505akJX0wcKj8Mpd,Tornado Of Souls - 2004 Digital Remaster,Megadeth,19,metal,0.519,0.982,-3.547,0.108,0.00203,0.00055,0.0971,0.361,97.745
5Nodfi0wQT9QANl0KlAo7B,Black Star,Carcass,20,metal,0.348,0.923,-3.543,0.0623,0.0000326,0.0862,0.183,0.391,106.152
07thLbY0eGli2xWWIPdrN2,Watching Over Me - Remixed & Remastered,Iced Earth,21,metal,0.508,0.852,-7.842,0.0718,0.00134,0,0.363,0.184,129.174
70sD5g3kfosobyow3cVTuY,Master of Confusion,Gamma Ray,22,metal,0.487,0.989,-3.945,0.0799,0.0013,0.000103,0.344,0.27,98
5ZOOjqoCaUydmo8bxSdosj,The Toxic Waltz,Exodus,23,metal,0.262,0.988,-4.922,0.253,0.00655,0.897,0.132,0.227,91.319
76BYv24CcZt2u94JRjmATX,Madhouse,Anthrax,24,metal,0.329,0.885,-10.661,0.0904,0.0242,0.00433,0.735,0.481,163.538
2fed1yXI1clOEddfGyKyH2,Locust,Machine Head,25,metal,0.352,0.956,-3.634,0.149,0.0000751,0.0203,0.125,0.228,122.897
1JvMOOYZjXLQCZ5p5b0JJD,Visions in My Head,Obituary,26,metal,0.5,0.89,-5.897,0.0859,0.00000771,0.00307,0.112,0.174,130.03
1j06ieEC2BOCM0fTmYhn2l,Alone Again,Dokken,27,metal,0.298,0.612,-9.002,0.0379,0.0194,0.0000967,0.0906,0.343,156.727
2SgbR6ttzoNlCRGQOKjrop,Cowboys From Hell,Pantera,28,metal,0.415,0.908,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816
2b9lp5A6CqSzwOrBfAFhof,Crazy Train - Remastered,Ozzy Osbourne,29,metal,0.453,0.905,-4.001,0.115,0.36,0.000569,0.26,0.474,137.571
0ptyB7zQ0J1uqein1X1E8I,Curse the Gods,Destruction,30,metal,0.299,0.991,-3.061,0.0889,0.00000168,0.659,0.0745,0.503,102.998
2OoS1aZFAFscH1cUiKlazH,Refuse / Resist,Sepultura,31,metal,0.475,0.953,-6.951,0.15,0.000291,0.00338,0.104,0.232,118.033
6FBmHx1FuaSnTnnnaThgbF,Cum on Feel the Noize,Quiet Riot,32,metal,0.441,0.908,-4.627,0.115,0.000183,0.00328,0.0612,0.632,145.439
0qgrrDnUUhyxpxbBznUnzg,18 And Life,Skid Row,33,metal,0.466,0.648,-11.101,0.028,0.0023,0.0000149,0.112,0.305,90.435
3lJqE5AKrrFDFdhDyB0kqx,Swords And Tequila,Riot,34,metal,0.347,0.939,-9.239,0.0648,0.0000889,0.0000381,0.232,0.356,89.401
1Y373MqadDRtclJNdnUXVc,Paranoid,Black Sabbath,35,metal,0.412,0.658,-12.051,0.0708,0.0000452,0.000774,0.176,0.454,163.071
1RJfhgykgVJBNKJ4bEqCeS,Are You Dead Yet,Children Of Bodom,36,metal,0.466,0.954,-3,0.0496,0.00000724,0.269,0.306,0.323,96.023
4nm9rEC2KiKeQFq3LbDfM0,Rebellion (The Clans Are Marching),Grave Digger,37,metal,0.398,0.828,-5.507,0.0618,0.0015,0.00281,0.302,0.189,131.848
0WZZENH0kt3O2cBE8q5IRq,War Eternal,Arch Enemy,38,metal,0.445,0.98,-4.369,0.0731,0.0000245,0.163,0.129,0.285,155.045
4HlVUapocBDBqkPtET2knz,Atoma,Dark Tranquillity,39,metal,0.413,0.969,-4.91,0.0822,0.000159,0.344,0.18,0.179,75.026
6LSDAtJAhkoNriP0HVKYJh,No Hope in Sight,Paradise Lost,40,metal,0.425,0.912,-3.503,0.0465,0.0000492,0.584,0.339,0.427,84.05
7Avgj5DFNgDAOxlLts53Cd,The Moth,Death Angel,41,metal,0.334,0.976,-3.756,0.0691,0.00046,0.0732,0.089,0.329,95.311
